de-date;tavg;tmin;tmax;wind;globrad;precip;relhumid
;C_deg;C_deg;C_deg;m/s;MJ m-2 d-1;mm;%
20.09.2011;12.78916667;5;20.56;1.258181818;14.925357;0;68.16666667
21.09.2011;15.44916667;7.78;22.22;2.96;14.053164;0;61.29166667
22.09.2011;12.80416667;6.11;19.06;1.1;14.194358;0;74.45833333
23.09.2011;14.86541667;7.22;23.35;2.653333333;13.986797;0;67.91666667
24.09.2011;14.26;11.11;17.78;2.196666667;9.0107455;0;69.58333333
25.09.2011;10.8375;6.68;15;4.636666667;11.882136;0.508673984;70.04166667
26.09.2011;9.710833333;3.89;13.67;4.565909091;11.979466;0.076243654;70.33333333
27.09.2011;12.13208333;8.89;17.2;3.0915;8.3298015;0.466505953;74.79166667
28.09.2011;11.29375;7.78;17.78;3.885217391;5.884628063;3.832204966;78.29166667
29.09.2011;8.412916667;5;12.22;2.706;7.685987438;3.947597928;87.08333333
30.09.2011;8.45375;3.89;12.78;2.64;8.470662063;0.137284398;81.04166667
01.10.2011;9.980416667;6.11;13.89;4.905416667;4.138691;4.733897513;85
02.10.2011;6.55625;5.89;8.89;5.531666667;6.195272813;1.133697107;81.33333333
03.10.2011;5.8825;2.78;7.71;4.917391304;9.766893;0;79.33333333
04.10.2011;6.736666667;2.22;10;2.037647059;2.347278938;1.655292159;92
05.10.2011;12.20833333;8.89;16.54;3.120952381;5.465384125;0.951507885;87.95833333
06.10.2011;12.02791667;7.78;16.11;3.3275;8.92142625;0;72.41666667
07.10.2011;12.24666667;6.11;18.89;2.673809524;7.8199925;0;72.91666667
08.10.2011;15.77583333;8.89;22.35;3.998333333;10.883316;0;69.25
09.10.2011;15.83208333;11.11;22.22;4.500416667;7.83769425;1.19966139;75.29166667
10.10.2011;14.71;12.78;16.21;4.120833333;0.84221425;14.75175796;89.91666667
11.10.2011;11.1625;8.89;16.11;3.504583333;7.63293975;0;83
12.10.2011;10.22375;8.61;12.78;2.448095238;5.422946063;5.127557088;83.875
13.10.2011;7.77375;2.78;10;3.24952381;6.011701625;0.530768419;86.54166667
14.10.2011;4.279583333;1.11;10;2.581578947;7.46246875;2.215950051;83.33333333
15.10.2011;4.145;2.34;6.11;2.232222222;6.068562188;1.427799638;86.75
16.10.2011;2.136666667;-2.78;4.38;2.367222222;6.49465725;0.366856984;79.04166667
17.10.2011;-0.037083333;-5;6.12;0.923333333;9.56537525;0;74.83333333
18.10.2011;2.52875;-2.78;7.22;3.574736842;2.762704938;5.115759093;73.41666667
19.10.2011;5.096666667;3.35;7.22;2.770588235;5.325554188;0.165013596;83.5
20.10.2011;4.97;3.71;8.83;1.524666667;8.756975313;0;91.29166667
21.10.2011;6.899583333;2.78;11.11;2.535;7.817044313;0;86.125
22.10.2011;5.447083333;0;10;2.681666667;6.145582563;0;78.45833333
23.10.2011;3.219166667;-2.22;8.89;3.133333333;6.898459063;0.125445426;77.54166667
24.10.2011;4.681666667;2.78;6.11;3.54;3.826751313;0.563958587;80.41666667
25.10.2011;2.305416667;0.84;2.78;2.525909091;5.83423275;0;67.5
26.10.2011;2.175416667;-0.51;4.55;1.847894737;4.80579975;0;74.625
27.10.2011;4.199583333;2.78;6.11;1.496153846;4.138559813;0.101604441;85.29166667
28.10.2011;3.555;2.22;5;2.468636364;3.494088125;0.235166401;79.54166667
29.10.2011;2.354166667;1.28;2.78;2.944375;3.408609063;0.202083043;82.83333333
30.10.2011;2.880416667;-0.26;8.2;3.19375;4.64478825;0;85.20833333
31.10.2011;5.505833333;1.56;11.11;3.532727273;6.684625;0;78.25
01.11.2011;6.78;4.63;10;4.01125;2.014133938;0.764456272;84.41666667
02.11.2011;5.69125;3.89;7.78;2.892;3.601698688;0.159002841;82.54166667
03.11.2011;4.514583333;2.78;6.11;3.39;2.725925313;0.350113682;83.20833333
04.11.2011;5.575833333;3.89;7.78;3.356666667;2.311847938;1.165727474;88.875
05.11.2011;0.829583333;-3.89;4.33;2.602727273;3.821444313;0.125274062;69.95833333
06.11.2011;-6.197916667;-8.89;-2.78;2.723888889;6.760946813;0;66.33333333
07.11.2011;-7.87625;-15;-1.75;1.993333333;6.366497688;0;63.60869565
08.11.2011;-0.484583333;-3.89;2.78;5.224166667;3.306815188;4.697371274;53.04166667
09.11.2011;1.029583333;-2.22;2.22;6.01;2.670650938;2.625170397;89
10.11.2011;-2.54;-3.17;-1.02;4.5175;3.157445063;0.628400827;81.66666667
11.11.2011;-2.7175;-3.48;-2.22;3.575416667;4.14644625;0.099556637;83.95833333
12.11.2011;-1.104166667;-2.78;1.11;2.399444444;1.894225328;0.420362456;89.54166667
13.11.2011;-0.73375;-1.57;0.35;2.356;2.262143;0.330160459;79.33333333
14.11.2011;-1.633333333;-2.78;-0.53;4.514166667;2.964452563;0.41654805;81.75
15.11.2011;-0.781666667;-2.22;0.11;5.084583333;1.068738199;1.657961606;90.75
16.11.2011;-6.39875;-11.11;-2.78;2.991666667;4.676064688;0.201903284;85.25
17.11.2011;-1.563333333;-7.22;1.12;4.692916667;1.485533926;0.446915627;85.25
18.11.2011;1.163333333;0;2.22;3.885714286;1.20674434;0.727580918;91.70833333
19.11.2011;0.435;-0.11;1.11;3.355909091;1.612177906;0.862409477;92.33333333
20.11.2011;1.3375;-1.11;2.78;5.535;1.928714375;0.686836051;79.20833333
21.11.2011;-5.114583333;-10;-2.22;2.568571429;4.513327125;0;73.875
22.11.2011;-4.176666667;-11.11;-0.31;3.14;1.19238766;1.116104773;86.625
23.11.2011;-9.622083333;-13.89;-4.78;2.939166667;4.719931;0;83.375
24.11.2011;-11.7125;-17.78;-4.92;2.225;4.585308188;0;79.66666667
